date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:32	2473/2473	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Sun,%2015%20Mar%202026%2011:17:32%20GMT	https://shillongteerground.com/robots.txt		(from )
16:47:32	9603/9603	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2011:17:33%20GMT	https://shillongteerground.com/	shillongteerground.com/index.html	(from )
16:47:33	9680/9680	---MCZ	200	added ('OK')	text/css	etag:W/%2257cc9ad2239cf3115c4bbafce306cdbf%22	https://shillongteerground.com/static/css/style.css	shillongteerground.com/static/css/style.css	(from https://shillongteerground.com/)
16:47:34	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22abbe45beab12db86244d4b75858e79ee%22	https://shillongteerground.com/static/images/16.ico	shillongteerground.com/static/images/16.ico	(from https://shillongteerground.com/)
16:47:35	367094/367094	---M--	200	added ('OK')	image/webp	etag:%223770a82d7087aee6148c1fd287ac0d54%22	https://shillongteerground.com/static/images/indian_flag_bg.webp	shillongteerground.com/static/images/indian_flag_bg.webp	(from https://shillongteerground.com/)
16:47:36	12175/12175	---M--	200	added ('OK')	image/png	etag:%2229ad48509d047e79a6dbf6580d5a0e19%22	https://shillongteerground.com/static/images/shillong_teer_ground_logo.png	shillongteerground.com/static/images/shillong_teer_ground_logo.png	(from https://shillongteerground.com/)
16:47:36	5154/5154	---M--	200	added ('OK')	image/webp	etag:%2288c8501243c1a1f7548707b56047a4cb%22	https://shillongteerground.com/static/images/teer-common-numbers.webp	shillongteerground.com/static/images/teer-common-numbers.webp	(from https://shillongteerground.com/)
16:47:38	14244/14244	---M--	200	added ('OK')	image/webp	etag:%2220736103e16e812ef3b5e940e5bc5f6a%22	https://shillongteerground.com/static/images/live.webp	shillongteerground.com/static/images/live.webp	(from https://shillongteerground.com/)
16:47:38	6759/6759	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2011:17:38%20GMT	https://shillongteerground.com/common-numbers/	shillongteerground.com/common-numbers/index.html	(from https://shillongteerground.com/)
16:47:38	28794/28794	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2011:17:39%20GMT	https://shillongteerground.com/dream-numbers/	shillongteerground.com/dream-numbers/index.html	(from https://shillongteerground.com/)
16:47:39	4678/4678	---M--	200	added ('OK')	image/webp	etag:%22642d823e9a160de5abbe4235df61879c%22	https://shillongteerground.com/static/images/teer-dream-numbers.webp	shillongteerground.com/static/images/teer-dream-numbers.webp	(from https://shillongteerground.com/)
16:47:39	6308/6308	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2011:17:40%20GMT	https://shillongteerground.com/teer-live/	shillongteerground.com/teer-live/index.html	(from https://shillongteerground.com/)
16:47:39	6678/6678	---M--	200	added ('OK')	image/webp	etag:%221b06f61fadd70439e8799d0f12fe20ad%22	https://shillongteerground.com/static/images/club-chart.webp	shillongteerground.com/static/images/club-chart.webp	(from https://shillongteerground.com/)
16:47:40	4484/4484	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2011:17:41%20GMT	https://shillongteerground.com/club-chart/	shillongteerground.com/club-chart/index.html	(from https://shillongteerground.com/)
16:47:41	35116/35116	---M--	200	added ('OK')	image/webp	etag:%224b0a0c5ef8481d57b6fad36beae942e7%22	https://shillongteerground.com/static/images/night-teer-ground.webp	shillongteerground.com/static/images/night-teer-ground.webp	(from https://shillongteerground.com/)
16:47:41	9132/9132	---M--	200	added ('OK')	image/webp	etag:%22d5b4766aa5e6f65c7a045d058ae0b3c0%22	https://shillongteerground.com/static/images/teer-previous-numbers.webp	shillongteerground.com/static/images/teer-previous-numbers.webp	(from https://shillongteerground.com/)
16:47:43	122384/122384	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2011:17:43%20GMT	https://shillongteerground.com/previous-results/	shillongteerground.com/previous-results/index.html	(from https://shillongteerground.com/)
16:47:43	37940/37940	---M--	200	added ('OK')	image/png	etag:%227805cf53ad43204a0983c1d3e40ed0c6%22	https://shillongteerground.com/static/images/notice.png	shillongteerground.com/static/images/notice.png	(from https://shillongteerground.com/)
16:47:43	9180/9180	---M--	200	added ('OK')	image/webp	etag:%227a39f7a5bb96629647a50187ea5af68e%22	https://shillongteerground.com/static/images/ReputedCounter.webp	shillongteerground.com/static/images/ReputedCounter.webp	(from https://shillongteerground.com/)
16:47:44	4514/4514	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2011:17:44%20GMT	https://shillongteerground.com/notice/	shillongteerground.com/notice/index.html	(from https://shillongteerground.com/)
16:47:44	5207/5207	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2011:17:45%20GMT	https://shillongteerground.com/reputed-counters/	shillongteerground.com/reputed-counters/index.html	(from https://shillongteerground.com/)
